quoteid,5131290-JP
value_score,346707.697051
list_price,1584495.28267
quoted_price,1445259.23902
tmc,99156.0374
leading_brand,
leading_brand_value,251860.49813
leading_brand_pct,0.726434689139
upgmes,0
countrycode,JP
indirect,1
ln_ds,14.2757771121
ln_vs,12.7562402166
gap_ev,3.5701082671
tc,0
quant_intercept,1.0
segment_id,
pred_L,0.46066756575532963
pred_M,1.0219226857396921
pred_H,1.9048117244221547
adj_pred_L,0.7014793924788951
adj_pred_M,1.1241149543136615
adj_pred_H,1.579031522808828
adj_price_L,243208.3046952122
adj_price_M,389739.3070308718
adj_price_H,547462.3828442523
cf,0.285993181701315
norm_op,0.932962705595626
price_opt,323465.3510916891
orig_OP,323465.3510916891
wp_opt,0.7670762392312206
ci_low,0.8242615911227521
ci_high,1.0391548180506431
