ComMTM,ComRevCat,Bundle,Group,SubGroup
3401,HW,B1,Cloud Object Storage,1/2 yr
5641-CO1,SW,B1,Cloud Object Storage,1/2 yr
5641-CO2,SW,B1,Cloud Object Storage,1/2 yr
3403,HW,B1,Cloud Object Storage,3/4/5 yr
5641-CO3,SW,B1,Cloud Object Storage,3/4/5 yr
5641-CO4,SW,B1,Cloud Object Storage,3/4/5 yr
5641-CO5,SW,B1,Cloud Object Storage,3/4/5 yr
2421,HW,B2,DS8000,1 yr
2396,HW,B2,DS8000,1 yr
2422,HW,B2,DS8000,2 yr
2397,HW,B2,DS8000,2 yr
2423,HW,B2,DS8000,3 yr
2398,HW,B2,DS8000,3 yr
2424,HW,B2,DS8000,4 yr
2399,HW,B2,DS8000,4 yr
2831,HW,B3,DS888x,1 yr
2836,HW,B3,DS888x,1 yr
5331,HW,B3,DS888x,1 yr
9046,HW,B3,DS888x,1 yr
5639-DS1,SW,B3,DS888x,1 yr
2832,HW,B3,DS888x,2 yr
2837,HW,B3,DS888x,2 yr
5332,HW,B3,DS888x,2 yr
9047,HW,B3,DS888x,2 yr
5639-DS2,SW,B3,DS888x,2 yr
2833,HW,B3,DS888x,3 yr
2838,HW,B3,DS888x,3 yr
5333,HW,B3,DS888x,3 yr
9048,HW,B3,DS888x,3 yr
5639-DS3,SW,B3,DS888x,3 yr
2834,HW,B3,DS888x,4 yr
2839,HW,B3,DS888x,4 yr
5334,HW,B3,DS888x,4 yr
9049,HW,B3,DS888x,4 yr
5639-DS4,SW,B3,DS888x,4 yr
5147,HW,B4,Elastic Storage,none
5641-GN3,SW,B4,Elastic Storage,none
5641-GN5,SW,B4,Elastic Storage,none
5641-GPF,SW,B4,Elastic Storage,none
5641-GRS,SW,B4,Elastic Storage,none
5641-GS1,SW,B4,Elastic Storage,none
5641-GS3,SW,B4,Elastic Storage,none
5641-GS5,SW,B4,Elastic Storage,none
5660-ESS,SW,B4,Elastic Storage,none
5660-SGP,SW,B4,Elastic Storage,none
5660-XA3,SW,B4,Elastic Storage,none
5661-ESS,SW,B4,Elastic Storage,none
5661-SGP,SW,B4,Elastic Storage,none
5661-XA3,SW,B4,Elastic Storage,none
5662-ESS,SW,B4,Elastic Storage,none
5662-SGP,SW,B4,Elastic Storage,none
5662-XA3,SW,B4,Elastic Storage,none
5663-ESS,SW,B4,Elastic Storage,none
5663-XA3,SW,B4,Elastic Storage,none
5664-ESS,SW,B4,Elastic Storage,none
5664-SGP,SW,B4,Elastic Storage,none
5664-XA3,SW,B4,Elastic Storage,none
5665-ESS,SW,B4,Elastic Storage,none
5765-ESS,SW,B4,Elastic Storage,none
5765-G66,SW,B4,Elastic Storage,none
5765-XA3,SW,B4,Elastic Storage,none
9835,HW,B5,Flash A9000,none
9836,HW,B5,Flash A9000,none
9837,HW,B5,Flash A9000,none
9838,HW,B5,Flash A9000,none
5639-FS1,SW,B5,Flash A9000,none
5639-FS2,SW,B5,Flash A9000,none
5639-FSL,SW,B5,Flash A9000,none
5639-FSP,SW,B5,Flash A9000,none
5639-FSQ,SW,B5,Flash A9000,none
5639-FSR,SW,B5,Flash A9000,none
5639-FSU,SW,B5,Flash A9000,none
5639-FSX,SW,B5,Flash A9000,none
5639-FSY,SW,B5,Flash A9000,none
5639-FSZ,SW,B5,Flash A9000,none
9846,HW,B6,Flash V9000,none
9848,HW,B6,Flash V9000,none
5639-RB7,SW,B6,Flash V9000,none
5639-RB8,SW,B6,Flash V9000,none
5639-RBC,SW,B6,Flash V9000,none
5639-RBF,SW,B6,Flash V9000,none
5639-RBG,SW,B6,Flash V9000,none
5639-RBH,SW,B6,Flash V9000,none
5639-HAA,SW,B7,LTFS SW,none
5639-HAB,SW,B7,LTFS SW,none
5639-HAC,SW,B7,LTFS SW,none
5639-HAD,SW,B7,LTFS SW,none
5639-HAE,SW,B7,LTFS SW,none
5639-HAF,SW,B7,LTFS SW,none
5639-HAG,SW,B7,LTFS SW,none
5639-HAH,SW,B7,LTFS SW,none
5639-HAI,SW,B7,LTFS SW,none
5639-LP1,SW,B7,LTFS SW,none
5639-LP2,SW,B7,LTFS SW,none
5639-LP3,SW,B7,LTFS SW,none
5639-LP4,SW,B7,LTFS SW,none
5639-LP5,SW,B7,LTFS SW,none
5639-LP6,SW,B7,LTFS SW,none
5639-LP7,SW,B7,LTFS SW,none
5639-LP8,SW,B7,LTFS SW,none
5639-LP9,SW,B7,LTFS SW,none
5639-LT1,SW,B7,LTFS SW,none
5639-LT2,SW,B7,LTFS SW,none
5639-LT3,SW,B7,LTFS SW,none
5639-LT4,SW,B7,LTFS SW,none
5639-LT5,SW,B7,LTFS SW,none
5639-LT6,SW,B7,LTFS SW,none
5639-LT7,SW,B7,LTFS SW,none
5639-LT8,SW,B7,LTFS SW,none
5639-LT9,SW,B7,LTFS SW,none
5639-TL1,SW,B7,LTFS SW,none
5639-TL2,SW,B7,LTFS SW,none
5639-TL3,SW,B7,LTFS SW,none
5639-TL4,SW,B7,LTFS SW,none
