,ComRevCat,ComRevDivCd,ComBrand,ComGroup,ComFamily,ComMT,Count,Avg,StdDev,Low,Med,High,Low_m,Low_b,Med_m,Med_b,High_m,High_b,r2,MSE,QP_ComMedPofL,QP_ComLogListPrice,QP_LogDealSize,QP_ComPctContrib,QP_UpgMES,QP_ClientSeg=E,QP_Indirect(1/0),QP_EndOfQtr,QP_ComDelgPriceL4PofL,PV_ComMedPofL,PV_ComLogListPrice,PV_LogDealSize,PV_ComPctContrib,PV_UpgMES,PV_ClientSeg=E,PV_Indirect(1/0),PV_EndOfQtr,PV_ComDelgPriceL4PofL,Qr2,QMSE,Adj_YtoMedPofL,Adj_psych,Adj_InputByBrand,avg_quote_cost,avg_quote_prc,avg_quote_prc_wp,avg_quote_prc_GP,avg_quote_prc_EGP,avg_opt_prc,avg_opt_prc_wp,avg_opt_prc_GP,avg_opt_prc_EGP
0,,,,,,,25266.0,0.36320582778,0.191566135588,0.108130081301,0.324444444444,0.640322580645,0.0,0.108130081301,0.0,0.324444444444,0.0,0.640322580645,0.0444238075779,,0.910158,0.00271,-0.002794,0.141706,0.003957,0.03182,0,-0.011147,0.111357,0.0,0.0448985,0.0130636,0.0,0.14278,0.0,0,0.0,0.0,0.9195754592849904,0.11645114423072964,0.013276944224134113,1.04,0,0.117182375578,0.36320582778,0.596976328083,0.562193276342,0.281568537046,0.340355423528,0.66672050819,0.651242253834,0.479533528298
1,H,,,,,,8550.0,0.256143694407,0.133715335185,0.0582258064516,0.22,0.462585034014,0.565870093627,0.0542024250082,0.7143303656,0.101039721473,0.643511416975,0.240977382802,0.374705190153,,0.98309,0.021401,-0.020727,0.030625,0.014504,0.001947,0,-0.003405,0.187626,0.0,0.0,0.0,0.0012683,0.0,0.1414768,0,0.011053,0.0,0.95593133064275071,0.060656953569976087,0.0032463498889837572,1.04,0,0.20262258123,0.256143694407,0.594819118109,0.0521554556422,-0.0492944832455,0.276538823631,0.474825283146,0.278176681816,0.173302606699
2,H,Power,,,,,2818.0,0.38731368372,0.0917733499098,0.209255533199,0.410309278351,0.538552432659,0.42847982924,0.188074417768,0.172699847392,0.349581653031,0.172518549249,0.423349087426,0.223640500655,,0.938915,0.013647,-0.013462,0.066679,0.020579,0.017563,0,0,0.178008,0.0,0.0009853,0.0001676,0.0010943,0.0,0.0,0,0,0.0,0.96314322485914361,0.076415803736169394,-0.00078487032355512021,1.04,0,0.25160456884,0.38731368372,0.583030380888,0.33847588211,0.16430487133,0.378860144351,0.695459634721,0.363059213628,0.280406306487
3,H,Power,OTHER POWER,,,,1778.0,0.402758611012,0.0647743739529,0.274698795181,0.410628019324,0.504513488562,0.33901555023,0.23094269895,0.170744652684,0.35285121592,0.188180751202,0.404183348856,0.197385935793,,1.012085,0.036413,-0.035423,0,0.020689,0.004088,0,0,0.282084,0.0,0.0,0.0,0,1.5e-06,0.1798306,0,0,0.0,0.98031748380770589,0.057230864186789195,0.0026761912589001735,1.04,0,0.302054583666,0.402758611012,0.593781255476,0.241042631481,0.113005214991,0.402657286756,0.68437663964,0.265072329017,0.199904714505
4,H,Power,OTHER POWER,POWER SYSTEM,,,1634.0,0.400833109568,0.0577820519654,0.278343949045,0.41061452514,0.502625346317,0.0,0.278343949045,0.0,0.41061452514,0.0,0.462365591398,0.139464756052,,0.9171,0.03195,-0.025776,0.025829,0.026522,0.008579,0,0.004793,0,0.0,0.0026991,0.0078318,0.4534077,0.0,0.0065049,0,0.08464,0,0.9810986597387038,0.055677034888275141,0.0037422925161013088,1.04,0,0.291433098626,0.400833109568,0.595794294075,0.26271416854,0.12827299837,0.397440646329,0.718924103515,0.278450962293,0.211603436468
5,H,Power,OTHER POWER,POWER SYSTEM,POWER LINUX,,1634.0,0.400833109568,0.0577820519654,0.278343949045,0.41061452514,0.502625346317,0.0,0.278343949045,0.0,0.41061452514,0.0,0.462365591398,0.139464756052,,0.9171,0.03195,-0.025776,0.025829,0.026522,0.008579,0,0.004793,0,0.0,0.0026991,0.0078318,0.4534077,0.0,0.0065049,0,0.08464,0,0.9810986597387038,0.055677034888275141,0.0037422925161013088,1.04,0,0.291433098626,0.400833109568,0.595794294075,0.26271416854,0.12827299837,0.397440646329,0.718924103515,0.278450962293,0.211603436468
6,H,Power,OTHER POWER,POWER SYSTEM,POWER LINUX,8284a,309.0,0.378142030323,0.0577936146918,0.270401948843,0.3792,0.474948615262,0.0,0.270401948843,0.0,0.3792,0.0,0.461899179367,0.0439094122735,,2.269206,-0.0188,-0.068892,-0.15546,-0.019655,-0.00508,0,0.007878,0,0.0,0.200637,1e-07,0.0020292,0.0602061,0.3800073,0,0.1272237,0,0.41931938421243886,0.044111558698318516,0.0010579696770857128,1.04,0,0.300608898981,0.378142030323,0.586575584889,0.188281204545,0.0921219511102,0.394434137087,0.513847130849,0.240380869038,0.135405231149
7,H,Power,OTHER POWER,POWER SYSTEM,POWER LINUX,8286a,1298.0,0.406175663695,0.0566834948887,0.281337047354,0.410917030568,0.501483373719,0.482849116226,0.208996631785,0.180780044608,0.356975581961,0.0388324941973,0.445575404824,0.178192125162,,0.90407,0.041131,-0.031952,0,0.025812,0.008972,0,0,0,0.0,0.0,0.0,0,3e-07,0.0137753,0,0,0,0.98123920898562833,0.056173028366595448,0.0043149486527321868,1.04,0,0.288531782487,0.406175663695,0.602541266899,0.282204078212,0.13918798961,0.398143581993,0.773452076363,0.288932029809,0.231304447898
8,H,Power,OTHER POWER,POWER SYSTEMS HW - AIX/LINUX,,,129.0,0.392287386872,0.0691794421435,0.212765957447,0.410067114094,0.533420977476,0.614718078543,0.0794015342575,0.288936530757,0.286670280917,0.188756641627,0.360635295518,0.401285484136,,1.797605,0.023749,-0.077535,-0.217385,-0.065056,-0.021749,0,-0.03054,0,0.0,0.0940206,1e-07,0.001403,0.0,0.0013873,0,1.8e-06,0,0.99328986473133007,0.032630231116810737,0.015240125058337439,1.04,0,0.391201149034,0.392287386872,0.728798663266,-0.00810170655427,-0.0395779295083,0.446434371016,0.341480308885,0.143135463357,0.0837812045962
9,H,Power,OTHER POWER,POWER SYSTEMS HW - AIX/LINUX,POWER SYSTEMS HW - AIX/LINUX,,129.0,0.392287386872,0.0691794421435,0.212765957447,0.410067114094,0.533420977476,0.614718078543,0.0794015342575,0.288936530757,0.286670280917,0.188756641627,0.360635295518,0.401285484136,,1.797605,0.023749,-0.077535,-0.217385,-0.065056,-0.021749,0,-0.03054,0,0.0,0.0940206,1e-07,0.001403,0.0,0.0013873,0,1.8e-06,0,0.99328986473133007,0.032630231116810737,0.015240125058337439,1.04,0,0.391201149034,0.392287386872,0.728798663266,-0.00810170655427,-0.0395779295083,0.446434371016,0.341480308885,0.143135463357,0.0837812045962
10,H,Power,OTHER POWER,POWER SYSTEMS HW - AIX/LINUX,POWER SYSTEMS HW - AIX/LINUX,8284a,123.0,0.402365917608,0.053238432193,0.302127659574,0.410071942446,0.488744954764,0.457376510608,0.151359905867,0.143881442903,0.352582726542,0.156453887991,0.375688221309,0.267514435352,,1.59348,0.034375,-0.072151,-0.182525,-0.05409,-0.008412,0,-0.024594,0,0.0,0.0052202,0.0,0.0017123,1e-07,0.1603468,0,7.6e-06,0,0.99531242374533435,0.027788431338165061,0.0074557231395959156,1.04,0,0.397819990199,0.402365917608,0.691295621786,0.00985188369913,-0.0263872519862,0.449454404371,0.332730805638,0.135601659774,0.0808955820518
11,H,Power,POWER SYSTEM HIGH END,,,,380.0,0.350772771216,0.117928336161,0.136698212408,0.361680327869,0.524910169034,-0.523317841879,0.273952556092,-0.597845984768,0.418181367161,-0.177017373628,0.456353069072,0.200988438322,,0.497404,0.091377,-0.064609,0,0.152822,0.025585,0,-0.043183,0,0.0,0.0,0.0,0,0.0,0.0247577,0,6.3e-06,0,0.94430361729297951,0.087335807545579097,-0.013105004396548103,1.04,0,0.10555157428,0.350772771216,0.505608737802,0.629703848425,0.293687709918,0.31506286865,0.669590763336,0.649063497123,0.487051772642
