,ComRevCat,ComRevDivCd,ComBrand,ComGroup,ComFamily,ComMT,Count,Avg,StdDev,Low,Med,High,Low_m,Low_b,Med_m,Med_b,High_m,High_b,r2,MSE,QP_ComMedPofL,QP_ComLogListPrice,QP_LogDealSize,QP_ComPctContrib,QP_UpgMES,QP_ClientSeg=E,QP_Indirect(1/0),QP_EndOfQtr,QP_ComDelgPriceL4PofL,PV_ComMedPofL,PV_ComLogListPrice,PV_LogDealSize,PV_ComPctContrib,PV_UpgMES,PV_ClientSeg=E,PV_Indirect(1/0),PV_EndOfQtr,PV_ComDelgPriceL4PofL,Qr2,QMSE,Adj_YtoMedPofL,Adj_psych,Adj_InputByBrand,avg_quote_cost,avg_quote_prc,avg_quote_prc_wp,avg_quote_prc_GP,avg_quote_prc_EGP,avg_opt_prc,avg_opt_prc_wp,avg_opt_prc_GP,avg_opt_prc_EGP
0,,,,,,,44976.0,0.269006485029,0.164949979552,0.0862068965517,0.224299065421,0.638564785457,0.422036203651,0.112166417468,0.524956189999,0.19619819239,0.39022622014,0.34999797733,0.219587014287,,0.997298,-0.001216,0,0.165565,-0.002828,0.014709,0,-0.007344,-0.004255,0.0,4.21e-05,0,0.0,0.1123982,0.0,0,0.0,0.4192852,0.87182957839863362,0.11297040070054294,-0.012268439053276792,1.04,0,0.12212816451,0.269006485029,0.554220519866,0.456664612369,0.200980860223,0.257606281977,0.563078241003,0.578147347413,0.385593204772
1,H,,,,,,17810.0,0.217315692092,0.123417985986,0.0728155339806,0.180379746835,0.465454545455,0.490271086471,0.052669245139,0.700259638935,0.0758403568032,0.795685524031,0.157449494187,0.401818002811,,0.845706,0.000971,0.001641,0.177079,0.020188,-0.004232,0,-0.003989,0.144437,0.0,0.4124497,0.1203984,0.0,0.0,7.46e-05,0,0.0002085,0.0,0.92214785972691959,0.069731610378421419,-0.0043424495094913085,1.04,0,0.192539079503,0.217315692092,0.568941496777,-5.19988695419e-05,-0.0616552300503,0.253950453771,0.360626244042,0.264122299793,0.124347734877
2,H,Power,,,,,4331.0,0.334085824126,0.117034577202,0.143396226415,0.337547408344,0.503576567864,0.451392588551,0.118951192084,0.343726298424,0.240822930407,0.219049127671,0.386102606125,0.256002682439,,0.690164,0.017887,-0.007893,0.313899,0.026105,0.01082,0,0.002168,0.216213,0.0,2e-07,0.008642,0.0,0.0,0.0002166,0,0.4609013,0.0,0.93037542975046761,0.093406021467897879,-0.0072896820578863264,1.04,0,0.261404208404,0.334085824126,0.593494016207,0.171546317388,0.0434847186129,0.353519399329,0.529408524355,0.293722542748,0.180102257255
3,H,Power,HPC,,,,259.0,0.269839913726,0.184541761351,0.0941684665227,0.211971830986,0.654287402738,0.214293551487,0.0904989552094,0.651740156583,0.053162480089,1.02243775782,0.128557075279,0.575147483486,,1.189846,0.068268,-0.069623,0.132906,0.077544,-0.075735,0,0.033042,0.168884,0.0,1e-07,0.0,0.0797697,1.77e-05,2.5e-06,0,0.028588,0.0117361,0.88821014854093205,0.10930185975492729,-0.028625534168163297,1.04,0,0.291989823387,0.269839913726,0.545272395658,-0.27006694334,-0.3341496897,0.379740339899,0.286458620704,0.295379753436,0.113177676085
4,H,Power,HPC,HPC,,,259.0,0.269839913726,0.184541761351,0.0941684665227,0.211971830986,0.654287402738,0.214293551487,0.0904989552094,0.651740156583,0.053162480089,1.02243775782,0.128557075279,0.575147483486,,1.189846,0.068268,-0.069623,0.132906,0.077544,-0.075735,0,0.033042,0.168884,0.0,1e-07,0.0,0.0797697,1.77e-05,2.5e-06,0,0.028588,0.0117361,0.88821014854093205,0.10930185975492729,-0.028625534168163297,1.04,0,0.291989823387,0.269839913726,0.545272395658,-0.27006694334,-0.3341496897,0.379740339899,0.286458620704,0.295379753436,0.113177676085
5,H,Power,HPC,HPC,CLOUD OPENSTACK PLATFORM FOR POWER REG 3Y,,152.0,0.176529650245,0.0902339643371,0.0929350423096,0.200570362855,0.3728,0.446991688353,0.0540662360414,0.546559237699,0.0682873270817,-0.400474903139,0.295269088022,0.248072146032,,0.65079,0.046674,-0.040332,0.088871,0.080035,0.01032,0,0.03243,0,0.0,1e-06,1.09e-05,0.2069286,0.0,0.4684017,0,0.0097796,0,0.87504345957550589,0.070081399410136372,-0.034695818524897198,1.04,0,0.141934695967,0.176529650245,0.565425117602,0.143289281507,0.0085909614849,0.195490309433,0.387855044781,0.330459731551,0.157604195727
6,H,Power,OTHER POWER,,,,2306.0,0.341278539036,0.102941812428,0.152027027027,0.342024539877,0.497865865073,0.520440696784,0.103030689825,0.506289244264,0.188238198339,0.316918931392,0.35064181029,0.349193231113,,0.878424,0.036462,-0.02942,0.167589,0.040599,0.007241,0,-0.009963,0.173973,0.0,1e-07,1.8e-06,3e-07,0.0,0.0512861,0,0.0054276,0.0012686,0.9478621873320463,0.081394413823205627,-0.0060582813551703363,1.04,0,0.291673289821,0.341278539036,0.559325552756,0.10731345815,0.00388127427021,0.366191237253,0.460248040748,0.226560326694,0.120948187558
7,H,Power,OTHER POWER,POWER SYSTEM,,,2046.0,0.332669499159,0.0974137652825,0.152027027027,0.333857726355,0.488776416232,0.622297133423,0.0789404394485,0.592984256165,0.167059740149,0.150725390375,0.389038840775,0.328799084431,,0.813076,0.027649,-0.018932,0.231721,0.0381,0.008408,0,-0.012577,0,0.0,0.0001345,0.0033133,0.0,0.0,0.0269317,0,0.0006916,0,0.94781076327716596,0.079189501390346848,-0.0071836854397592242,1.04,0,0.272254745906,0.332669499159,0.548332804441,0.142438110124,0.0264457742498,0.350060679905,0.486546293537,0.241214010687,0.130342644339
8,H,Power,OTHER POWER,POWER SYSTEM,POWER LINUX,,2046.0,0.332669499159,0.0974137652825,0.152027027027,0.333857726355,0.488776416232,0.622297133423,0.0789404394485,0.592984256165,0.167059740149,0.150725390375,0.389038840775,0.328799084431,,0.813076,0.027649,-0.018932,0.231721,0.0381,0.008408,0,-0.012577,0,0.0,0.0001345,0.0033133,0.0,0.0,0.0269317,0,0.0006916,0,0.94781076327716596,0.079189501390346848,-0.0071836854397592242,1.04,0,0.272254745906,0.332669499159,0.548332804441,0.142438110124,0.0264457742498,0.350060679905,0.486546293537,0.241214010687,0.130342644339
9,H,Power,OTHER POWER,POWER SYSTEM,POWER LINUX,8247a,154.0,0.331127444905,0.0657484494777,0.215668202765,0.321904761905,0.435294117647,0.721736019107,-0.00639136562889,0.570561598237,0.103437662944,0.220165383753,0.30427076937,0.353606514044,,0.686725,-0.08817,0.080779,0.712972,0.083512,-0.043361,0,0.044635,0,7.55e-05,0.0005392,0.0016558,3.3e-06,0.0,0.0034714,0,0.0002391,0,0.97167921620723452,0.056812586457081281,-0.014760101074307808,1.04,0,0.373193151352,0.331127444905,0.526048052462,-0.167879594139,-0.154453221803,0.409864427908,0.116680349666,0.0977639081245,0.0213477977021
10,H,Power,OTHER POWER,POWER SYSTEM,POWER LINUX,8284a,514.0,0.338765469403,0.0908436349689,0.225414364641,0.331125827815,0.46186440678,0.0,0.225414364641,0.0,0.331125827815,0.0,0.46186440678,0.0688112255054,,1.712409,0,-0.044751,0.113011,-0.053277,0.011863,0,-0.007381,0,0.0,0,0.0001163,0.0652272,0.0002633,0.1371565,0,0.3505343,0,0.12512045560882978,0.085053367194449531,-0.0076396415881342938,1.04,0,0.285132379672,0.338765469403,0.540105186554,0.111763602008,0.0239943682516,0.373316495303,0.382610261157,0.254357292173,0.127340363859
11,H,Power,OTHER POWER,POWER SYSTEM,POWER LINUX,8286a,1378.0,0.330568009791,0.102516613435,0.144585143741,0.338613861386,0.497315441562,0.985778003658,0.00338748175545,0.817548985954,0.114900355143,0.398140787474,0.315672061725,0.501272487754,,0.783088,0.050524,-0.039752,0.180344,0.057379,0.021109,0,-0.011243,0,0.0,0.0,0.0,2.1e-06,0.0,5.2e-06,0,0.0099646,0,0.95259735303394699,0.075353299022023174,-0.0061669006298992191,1.04,0,0.256170843007,0.330568009791,0.55674465671,0.188559752815,0.0455630140804,0.333815613484,0.569695437656,0.250683351641,0.145090578006
12,H,Power,OTHER POWER,POWER SYSTEMS HW - AIX/LINUX,,,200.0,0.395165284157,0.0666777463784,0.25585106383,0.410112359551,0.524628688101,0.733709813729,0.00798924268491,0.270361810084,0.278543565141,0.111673659101,0.419761430518,0.320486580989,,1.686171,0.111792,-0.13833,-0.585894,-0.061974,0,0,0,0,0.0,0.0,0.0,0.0,0.0019752,0,0,0,0,0.98397587976402245,0.050729657255797464,0.008528455821826042,1.04,0,0.42928640251,0.395165284157,0.672526232857,-0.107432162141,-0.114131330973,0.472374502017,0.247612453396,0.101051201143,0.0400994082937
13,H,Power,OTHER POWER,POWER SYSTEMS HW - AIX/LINUX,POWER SYSTEMS HW - AIX/LINUX,,200.0,0.395165284157,0.0666777463784,0.25585106383,0.410112359551,0.524628688101,0.733709813729,0.00798924268491,0.270361810084,0.278543565141,0.111673659101,0.419761430518,0.320486580989,,1.686171,0.111792,-0.13833,-0.585894,-0.061974,0,0,0,0,0.0,0.0,0.0,0.0,0.0019752,0,0,0,0,0.98397587976402245,0.050729657255797464,0.008528455821826042,1.04,0,0.42928640251,0.395165284157,0.672526232857,-0.107432162141,-0.114131330973,0.472374502017,0.247612453396,0.101051201143,0.0400994082937
14,H,Power,OTHER POWER,POWER SYSTEMS HW - AIX/LINUX,POWER SYSTEMS HW - AIX/LINUX,8284a,171.0,0.40833422703,0.0543239532851,0.333333333333,0.410666666667,0.48488372093,0.0,0.333333333333,0.0,0.410666666667,0.0,0.48488372093,0.136963093666,,0.471716,0.232658,-0.145054,-0.603688,0.138914,0.019679,0,0.006103,0,0.2113812,4e-07,0.0,0.0,0.0064544,0.1616808,0,0.3899086,0,0.34316330142337859,0.044156400765403857,0.0023324396365081435,1.04,0,0.449377136865,0.40833422703,0.651857307373,-0.118933877473,-0.109404737508,0.487354356544,0.22179101277,0.0856659036456,0.0357718118175
15,H,Power,POWER SYSTEM HIGH END,,,,471.0,0.317384278196,0.128175734922,0.126919140225,0.305857740586,0.474268990299,-0.138858897347,0.203492446702,-0.723658735679,0.411629726967,-0.48563070378,0.514051759057,0.225747270916,,0.230391,0.020908,0,0.399684,0.116755,0.034223,0,0,0,0.0,0.0,0,0.0,0.0,0.0614806,0,0,0,0.87629640584387314,0.12038827036961743,0.0074197982083611946,1.04,0,0.123272014891,0.317384278196,0.565655588606,0.492359592439,0.212598171555,0.31243561051,0.608974854789,0.613343855731,0.436390372042
16,H,Power,POWER SYSTEM HIGH END,P EXPRESS HIGH,,,281.0,0.318125227052,0.120701908995,0.152093023256,0.308868501529,0.464356435644,-0.443613927424,0.272182284152,-0.707035985843,0.428303672267,-0.573011422901,0.558376924244,0.432996185574,,0.765418,0.087734,-0.075155,0.058505,0.055498,0.037033,0,0.028993,0,0.0,0.0018258,0.0034183,0.4860078,0.0050277,0.0592966,0,0.0282865,0,0.905977094951669,0.10433253185808503,-0.0079183888343760112,1.04,0,0.167030867472,0.318125227052,0.55525181228,0.333553626549,0.120123759936,0.32237918297,0.530874584917,0.483583444627,0.328642466477
17,H,Power,POWER SYSTEM HIGH END,P SYSTEM HIGH,,,190.0,0.316288453834,0.138484472752,0.0994923857868,0.290366322783,0.472008032912,-0.129127006546,0.161248624251,-1.42860667991,0.43159161495,-0.677030776269,0.489136701762,0.461051205936,,0.124571,0.0462,-0.033425,0.394336,0.223505,0.094026,0,-0.071637,0,0.0005689,0.0817226,0.1722178,8.6e-06,0.0,0.0041154,0,0.000234,0,0.88811862969200472,0.11549063575792594,0.030104169571565365,1.04,0,0.0585549750203,0.316288453834,0.589432119882,0.727225257782,0.403945010367,0.301314130345,0.683639134527,0.776562647349,0.558807039646
