,ComRevCat,ComRevDivCd,ComBrand,ComGroup,ComFamily,ComMT,Count,Avg,StdDev,Low,Med,High,Low_m,Low_b,Med_m,Med_b,High_m,High_b,r2,MSE,QP_ComMedPofL,QP_ComLogListPrice,QP_LogDealSize,QP_ComPctContrib,QP_UpgMES,QP_ClientSeg=E,QP_Indirect(1/0),QP_EndOfQtr,QP_ComDelgPriceL4PofL,PV_ComMedPofL,PV_ComLogListPrice,PV_LogDealSize,PV_ComPctContrib,PV_UpgMES,PV_ClientSeg=E,PV_Indirect(1/0),PV_EndOfQtr,PV_ComDelgPriceL4PofL,Qr2,QMSE,Adj_YtoMedPofL,Adj_psych,Adj_InputByBrand,avg_quote_cost,avg_quote_prc,avg_quote_prc_wp,avg_quote_prc_GP,avg_quote_prc_EGP,avg_opt_prc,avg_opt_prc_wp,avg_opt_prc_GP,avg_opt_prc_EGP
0,,,,,,,24174.0,0.389292173884,0.192827937561,0.102953586498,0.391534391534,0.660403918631,0.0,0.102953586498,0.0,0.391534391534,0.0,0.640692640693,0.0138614432561,,0.898603,-0.007686,-0.002098,0.088378,-0.006389,0.014201,0.057989,0.002262,0.135092,0.0,0.0,0.0816643,0.0,0.0069892,0.0,0.0,0.0862207,0.0,0.94574738171055284,0.10118869231838158,0.0041810805284134278,1.04,0,0.12128749231,0.389292173884,0.597065061855,0.581248710812,0.302064188801,0.360934151225,0.692776898519,0.649311834576,0.498382745243
1,H,,,,,,8050.0,0.266994496112,0.12999132908,0.0739819004525,0.221135029354,0.460576923077,0.67369824531,0.045820076807,0.773650182369,0.0883646417216,0.612137818596,0.220277140221,0.501238206042,,0.934488,0.008948,-0.0086,0.07537,0.011401,0.014768,-0.006103,0.002704,0.141098,0.0,3.7e-06,1.2e-06,0.0,0.0,0.0,0.0706664,0.0462027,0.0,0.96097396631426379,0.058663994123474582,0.0018241504330550051,1.04,0,0.223831375712,0.266994496112,0.626775312958,0.081725085429,0.00618062405316,0.291006998959,0.504723316905,0.264294749534,0.175507668762
2,H,Power,,,,,2935.0,0.392583890172,0.0870761083411,0.209255533199,0.41061452514,0.536755989309,0.576051664514,0.149540006946,0.302517596802,0.29962857094,0.0925105486897,0.426867208135,0.300557572067,,0.843068,0.019243,-0.010399,0.093284,0.014354,0.054069,-0.046441,0.014411,0.187129,0.0,0.0002454,0.0197019,2.43e-05,0.0001844,0.0,0.0,0.0,0.0,0.97064090471026265,0.068902058738067845,0.00076538747096716042,1.04,0,0.312424129226,0.392583890172,0.642946804513,0.206793128009,0.10191914685,0.401584674242,0.675262857989,0.249363446468,0.190574132173
3,H,Power,OTHER POWER,,,,2262.0,0.409221008866,0.0560254919912,0.299765807963,0.410881801126,0.491611142042,0.355898226563,0.239852230787,0.14592760151,0.366919572416,0.101372207663,0.41892812837,0.24225704769,,0.934695,0.07331,-0.061746,-0.067013,0,0.024377,-0.013997,0.008307,0,0.0,0.0,0.0,0.0216837,0,0.0,0.0369661,6.79e-05,0,0.9858092708881897,0.049203131769696033,0.0040957085953428063,1.04,0,0.336708926682,0.409221008866,0.645854634141,0.180318577569,0.0919460789294,0.422382241066,0.67944371891,0.222950519908,0.17973718521
4,H,Power,OTHER POWER,POWER SYSTEM,,,1955.0,0.407105544192,0.0571086052759,0.290874524715,0.410909090909,0.496081027605,0.534305017543,0.190993221773,0.238067175717,0.3398956452,0.0564200987214,0.431429747183,0.292918845428,,0.915621,0.082467,-0.068114,-0.088438,0.0056,0.023512,-0.01516,0.010886,0,0.0,0.0,0.0,0.0091564,0.1932865,0.0,0.0332941,1.7e-06,0,0.98535949236311549,0.04974124916309116,0.0065508050583599209,1.04,0,0.313035063414,0.407105544192,0.645703148464,0.233477121478,0.124952240643,0.408470576955,0.766795495663,0.248104168589,0.19820672387
5,H,Power,OTHER POWER,POWER SYSTEM,POWER LINUX,,1955.0,0.407105544192,0.0571086052759,0.290874524715,0.410909090909,0.496081027605,0.534305017543,0.190993221773,0.238067175717,0.3398956452,0.0564200987214,0.431429747183,0.292918845428,,0.915621,0.082467,-0.068114,-0.088438,0.0056,0.023512,-0.01516,0.010886,0,0.0,0.0,0.0,0.0091564,0.1932865,0.0,0.0332941,1.7e-06,0,0.98535949236311549,0.04974124916309116,0.0065508050583599209,1.04,0,0.313035063414,0.407105544192,0.645703148464,0.233477121478,0.124952240643,0.408470576955,0.766795495663,0.248104168589,0.19820672387
6,H,Power,OTHER POWER,POWER SYSTEM,POWER LINUX,8284a,175.0,0.376752240224,0.0683773121065,0.262857142857,0.390598290598,0.489775032262,1.1275335663,-0.0164840668513,0.96450041864,0.0904873026948,0.534087347856,0.279713581481,0.593033803004,,0.84574,0,0.004554,0.213556,0.018294,0.038872,-0.014489,0.009534,0,0.0,0,0.4984211,0.0002085,0.1419794,5.74e-05,0.3751248,0.264515,0,0.97924613759253887,0.055162339728406937,-0.0041663052719591587,1.04,0,0.292481606856,0.376752240224,0.561079801574,0.213820899259,0.085118815945,0.36698112876,0.721647332056,0.209412827694,0.146382015623
7,H,Power,OTHER POWER,POWER SYSTEM,POWER LINUX,8286a,1762.0,0.410289817711,0.055213484067,0.301916932907,0.410989010989,0.490652203608,0.498009892159,0.208980459278,0.226019915313,0.345124941291,0.0469937951003,0.435041723193,0.282288257942,,0.929556,0.083802,-0.071296,-0.083286,0,0.027909,-0.01762,0.011609,0,0.0,0.0,0.0,0.0094041,0,0.0,0.0325784,9e-07,0,0.98605006462999878,0.048896086723777196,0.0072094577193109188,1.04,0,0.31411721432,0.410289817711,0.651494672435,0.238251821952,0.129427144907,0.411870774257,0.777905743927,0.253195325209,0.205327997588
8,H,Power,OTHER POWER,POWER SYSTEMS HW - AIX/LINUX,,,298.0,0.417939180314,0.0351183553566,0.384379826255,0.41045751634,0.460579022307,0.204902934701,0.272783508508,0.127729648721,0.355463208595,0.0320158979173,0.435650304192,0.162627337567,,2.039824,0.107946,-0.165813,-0.590141,-0.076349,0.010762,-0.017535,0.002648,0,0.0,0.0086038,0.0001179,6.2e-06,5e-07,0.3770211,0.3177769,0.4825669,0,0.99458999180905217,0.030848912054812973,-0.0077403066508824336,1.04,0,0.486488645414,0.417939180314,0.651143326873,-0.165982505356,-0.115212703777,0.513041310861,0.118553704049,0.0678933475922,0.0648599578463
9,H,Power,OTHER POWER,POWER SYSTEMS HW - AIX/LINUX,POWER SYSTEMS HW - AIX/LINUX,,298.0,0.417939180314,0.0351183553566,0.384379826255,0.41045751634,0.460579022307,0.204902934701,0.272783508508,0.127729648721,0.355463208595,0.0320158979173,0.435650304192,0.162627337567,,2.039824,0.107946,-0.165813,-0.590141,-0.076349,0.010762,-0.017535,0.002648,0,0.0,0.0086038,0.0001179,6.2e-06,5e-07,0.3770211,0.3177769,0.4825669,0,0.99458999180905217,0.030848912054812973,-0.0077403066508824336,1.04,0,0.486488645414,0.417939180314,0.651143326873,-0.165982505356,-0.115212703777,0.513041310861,0.118553704049,0.0678933475922,0.0648599578463
