,ComRevCat,ComRevDivCd,ComBrand,ComGroup,ComFamily,ComMT,Count,Avg,StdDev,Low,Med,High,Low_m,Low_b,Med_m,Med_b,High_m,High_b,r2,MSE,QP_ComMedPofL,QP_ComLogListPrice,QP_LogDealSize,QP_ComPctContrib,QP_UpgMES,QP_ClientSeg=E,QP_Indirect(1/0),QP_EndOfQtr,QP_ComDelgPriceL4PofL,PV_ComMedPofL,PV_ComLogListPrice,PV_LogDealSize,PV_ComPctContrib,PV_UpgMES,PV_ClientSeg=E,PV_Indirect(1/0),PV_EndOfQtr,PV_ComDelgPriceL4PofL,Qr2,QMSE,Adj_YtoMedPofL,Adj_psych,Adj_InputByBrand,avg_quote_cost,avg_quote_prc,avg_quote_prc_wp,avg_quote_prc_GP,avg_quote_prc_EGP,avg_opt_prc,avg_opt_prc_wp,avg_opt_prc_GP,avg_opt_prc_EGP
0,,,,,,,19863.0,0.241481678371,0.147733496946,0.0706766917293,0.206937799043,0.549004180602,0.574433373777,0.071370030668,0.618255256555,0.154363383526,0.539604772344,0.304913896563,0.4372238136,,0.972243,-0.007448,0.006634,0.158218,0.019497,0.014532,-0.074736,-0.001313,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.378848,0,0.86861009221036645,0.10261287234365171,-0.017438584128669832,1.04,0,0.122392046968,0.241481678371,0.554095889203,0.4596119161,0.185959389849,0.232537721768,0.529658463341,0.572838594714,0.345539875676
1,H,,,,,,7242.0,0.241561764192,0.119735186855,0.0833532934132,0.225333333333,0.450582325076,0.668252078733,0.02265058629,0.767575988888,0.0723160458134,0.576593042751,0.236540873645,0.495695873503,,1.017233,0.001769,-0.003462,0.145512,0.027416,-0.004753,-0.049499,0,0.057671,0.0,0.4168402,0.0669122,0.0,0.0,0.0100365,0.0010289,0,0.0,0.91610689680144741,0.078090154923082161,-0.013028042013208618,1.04,0,0.205436941332,0.241561764192,0.595826824125,0.0618489849478,-0.0377793845442,0.269666598055,0.387540344835,0.268949391638,0.117434106444
2,H,Power,,,,,2726.0,0.310393383232,0.116710981578,0.135170777116,0.301621621622,0.550755939525,0.749237790815,0.0554591381576,0.610904048399,0.144886084777,0.362957205383,0.329571224288,0.480414317942,,0.950524,0,-0.002297,0.286241,0.047482,-0.003143,-0.068748,-0.00827,0.112106,0.0,0,0.012547,0.0,0.0,0.3332461,0.0186063,0.0114543,0.0,0.93866773272546644,0.082124501696471924,-0.015272410084885168,1.04,0,0.245673409199,0.310393383232,0.672763115049,0.181184970166,0.0572358537731,0.318739023118,0.553278830267,0.259341375752,0.147850347827
3,H,Power,HPC,,,,192.0,0.282086266585,0.183021088381,0.088424437299,0.226727843184,0.571428571429,0.570801567149,0.027105015054,0.769309531318,0.0698998264305,0.821037688749,0.197700351592,0.697041170333,,1.14692,0.071047,-0.071284,0,0.070961,0,0,0.021857,0,0.0,0.0003335,0.0003724,0,2.34e-05,0,0,0.1623556,0,0.91684246842876282,0.096966853027288885,-0.024232529876366038,1.04,0,0.249190633497,0.282086266585,0.559010954006,0.0806811256211,-0.0635870252283,0.328102091816,0.365700885171,0.299995721545,0.127938659825
4,H,Power,HPC,HPC,,,192.0,0.282086266585,0.183021088381,0.088424437299,0.226727843184,0.571428571429,0.570801567149,0.027105015054,0.769309531318,0.0698998264305,0.821037688749,0.197700351592,0.697041170333,,1.14692,0.071047,-0.071284,0,0.070961,0,0,0.021857,0,0.0,0.0003335,0.0003724,0,2.34e-05,0,0,0.1623556,0,0.91684246842876282,0.096966853027288885,-0.024232529876366038,1.04,0,0.249190633497,0.282086266585,0.559010954006,0.0806811256211,-0.0635870252283,0.328102091816,0.365700885171,0.299995721545,0.127938659825
5,H,Power,HPC,HPC,CLOUD OPENSTACK PLATFORM FOR POWER REG 3Y,,123.0,0.194903097142,0.124695024717,0.0862017804154,0.248282778213,0.503389830508,0.241167419421,0.0708105861877,1.1026686825,0.0265168149847,3.12696303674,-0.050018335812,0.265454172127,,1.961003,0.046962,-0.062007,0,0,0.078747,0,-0.021563,0,0.0,0.1563923,0.0801033,0,0,0.0039499,0,0.2167806,0,0.86040795784488644,0.0864477232017411,-0.044252800397276137,1.04,0,0.112575503169,0.194903097142,0.559697802043,0.285689879241,0.0639314162423,0.186080699065,0.493753176501,0.38055165003,0.187980263814
6,H,Power,OTHER POWER,,,,733.0,0.326579039864,0.110050821242,0.152786118632,0.327698309493,0.553948832036,0.504617702964,0.106733380973,0.482933819966,0.204458742493,0.273170401445,0.378402562666,0.246589930673,,1.072591,0.033088,-0.038521,0.250392,0.068796,-0.006188,0,-0.034042,0.07393,0.0,0.2189003,0.1236373,0.0082705,0.0,0.3891004,0,4e-07,0.1476668,0.9367223030652656,0.086690132083965282,-0.010486851075479087,1.04,0,0.241801518869,0.326579039864,0.607818143769,0.212469739481,0.0577690013087,0.331846406496,0.537697669565,0.287740448429,0.162406139849
7,H,Power,OTHER POWER,POWER SYSTEM,,,682.0,0.320069630312,0.0994768615344,0.159803921569,0.323383084577,0.491279069767,0.782302020308,0.051758965493,0.376070312854,0.228702707065,0.0713200964705,0.422661261673,0.258349613819,,1.017886,0,-0.007097,0.32035,0.061347,0,0,-0.033576,0,0.0,0,0.0801915,0.0,0.0,0,0,1.1e-06,0,0.9335563667826754,0.086396134113529685,-0.010987332844818454,1.04,0,0.228082308636,0.320069630312,0.602931228982,0.239735067032,0.0753878274676,0.31934048181,0.555396306241,0.297766314123,0.170531885229
8,H,Power,OTHER POWER,POWER SYSTEM,POWER LINUX,,682.0,0.320069630312,0.0994768615344,0.159803921569,0.323383084577,0.491279069767,0.782302020308,0.051758965493,0.376070312854,0.228702707065,0.0713200964705,0.422661261673,0.258349613819,,1.017886,0,-0.007097,0.32035,0.061347,0,0,-0.033576,0,0.0,0,0.0801915,0.0,0.0,0,0,1.1e-06,0,0.9335563667826754,0.086396134113529685,-0.010987332844818454,1.04,0,0.228082308636,0.320069630312,0.602931228982,0.239735067032,0.0753878274676,0.31934048181,0.555396306241,0.297766314123,0.170531885229
9,H,Power,OTHER POWER,POWER SYSTEM,POWER LINUX,8284a,305.0,0.330220714641,0.0903589175935,0.201307189542,0.323383084577,0.461313868613,0.995794826604,-0.00644476919988,0.427109060404,0.208802773812,-0.129299589527,0.471551171978,0.285413312529,,0.831846,-0.075512,0.067435,0.533315,0.04752,0,0,-0.016897,0,1e-07,0.092071,0.1103026,0.0005558,0.0006698,0,0,0.0877063,0,0.9388688856513665,0.084647537995647296,-0.01162263657567042,1.04,0,0.255137807993,0.330220714641,0.62342408624,0.181250931869,0.0494407349639,0.332900900797,0.534928978899,0.238392290171,0.128078659544
