,ComRevCat,ComRevDivCd,ComBrand,ComGroup,ComFamily,ComMT,Count,Avg,StdDev,Low,Med,High,Low_m,Low_b,Med_m,Med_b,High_m,High_b,r2,MSE,QP_ComMedPofL,QP_ComLogListPrice,QP_LogDealSize,QP_ComPctContrib,QP_UpgMES,QP_ClientSeg=E,QP_Indirect(1/0),QP_EndOfQtr,QP_ComDelgPriceL4PofL,PV_ComMedPofL,PV_ComLogListPrice,PV_LogDealSize,PV_ComPctContrib,PV_UpgMES,PV_ClientSeg=E,PV_Indirect(1/0),PV_EndOfQtr,PV_ComDelgPriceL4PofL,Qr2,QMSE,Adj_YtoMedPofL,Adj_psych,Adj_InputByBrand,avg_quote_cost,avg_quote_prc,avg_quote_prc_wp,avg_quote_prc_GP,avg_quote_prc_EGP,avg_opt_prc,avg_opt_prc_wp,avg_opt_prc_GP,avg_opt_prc_EGP
0,,,,,,,26138.0,0.323247376992,0.18624577376,0.102284710018,0.264240481042,0.639405204461,0.0,0.102284710018,0.0,0.264240481042,0.0,0.639405204461,0.0761353378068,,0.869637,-0.010109,0.012302,0.146384,0.008735,0.003023,0,-0.012995,0.091843,0.0,0.0,0.0,0.0,3.16e-05,0.025675,0,0.0,0.0,0.91369794042812791,0.10959974231188525,0.0049998451073333117,1.04,0,0.120953586311,0.323247376992,0.596274989224,0.525086408922,0.256867107211,0.303825831363,0.656332525901,0.613141055401,0.460845324722
1,H,,,,,,10625.0,0.246553120001,0.135971244341,0.0649484536082,0.20447761194,0.463333333333,0.418668170504,0.078259721174,0.567569287815,0.129914711991,0.635042970143,0.232947106573,0.352135537893,,0.953385,0.012302,-0.011081,0.030626,0.02251,-0.010681,0,-0.002807,0.102947,0.0,0.0,0.0,4.51e-05,0.0,0.0,0,0.0265481,0.0,0.94882968514232013,0.063691519216159967,0.0030165424098692051,1.04,0,0.192045138845,0.246553120001,0.602432971345,0.108452925355,0.0131095778651,0.267046284787,0.457105250811,0.301369505061,0.187812981765
2,H,Power,,,,,3111.0,0.381955807287,0.118909638706,0.113520729685,0.411214953271,0.610980806872,0.463476823682,0.164688189512,0.287630615552,0.318253803836,0.210725956646,0.424772382215,0.312644836794,,0.968042,0.010747,-0.01052,0.077813,0.030833,-0.02031,0,-0.01688,0.103999,0.0,0.0135187,0.005984,4.8e-05,0.0,0.0,0,4e-07,0.0,0.95075877788851082,0.088769702128535619,0.0028422704993265047,1.04,0,0.235792043054,0.381955807287,0.586954056724,0.399511726627,0.215819401468,0.380748582358,0.604832916723,0.441408291518,0.3110587862
3,H,Power,HPC,,,,217.0,0.374071355735,0.222228570553,0.113111111111,0.366197183099,0.712643678161,0.652226402891,0.0232245541313,0.888618241349,0.0508247782351,1.01482369099,0.0971913857151,0.871723306443,,1.064061,0.037234,-0.034828,0,0.028608,-0.083062,0,0,-0.077782,0.0,2.15e-05,3.45e-05,0,0.0441342,0.0,0,0,0.0468259,0.96552522087948534,0.080787312984365311,0.021943704190994728,1.04,0,0.366956170123,0.374071355735,0.68315500187,0.0591961316284,-0.0159924871945,0.437470021514,0.423346979771,0.242848250337,0.137468156649
4,H,Power,HPC,HPC,,,217.0,0.374071355735,0.222228570553,0.113111111111,0.366197183099,0.712643678161,0.652226402891,0.0232245541313,0.888618241349,0.0508247782351,1.01482369099,0.0971913857151,0.871723306443,,1.064061,0.037234,-0.034828,0,0.028608,-0.083062,0,0,-0.077782,0.0,2.15e-05,3.45e-05,0,0.0441342,0.0,0,0,0.0468259,0.96552522087948534,0.080787312984365311,0.021943704190994728,1.04,0,0.366956170123,0.374071355735,0.68315500187,0.0591961316284,-0.0159924871945,0.437470021514,0.423346979771,0.242848250337,0.137468156649
5,H,Power,HPC,HPC,CLOUD OPENSTACK PLATFORM FOR POWER REG 3Y,,95.0,0.166089885845,0.0714737562688,0.0584210526316,0.159308510638,0.352678571429,0.607121397673,0.0375601525135,0.203584357548,0.129143023704,0.368195710621,0.148530054597,0.43147277074,,3.136561,0.00669,-0.048232,-0.196196,0.031115,-0.014492,0,-0.040219,0,0.0,0.352279,8e-07,5.73e-05,0.0110601,0.2425753,0,0.0001521,0,0.9491225111519318,0.040784878650409445,-0.012361799796287903,1.04,0,0.117615830518,0.166089885845,0.617332416058,0.304949024185,0.1179016412,0.167375095438,0.510420663845,0.393230326998,0.255163526583
6,H,Power,HPC,HPC,IBM POWER SYSTEM FOR BIG DATA,,81.0,0.618140766458,0.104166068343,0.445606694561,0.618518518519,0.771641097165,0.196023799263,0.394513867128,0.632821125718,0.255427821596,0.529278150849,0.398422903795,0.21850490765,,1.317614,0.04026,-0.066642,-0.146075,-0.03365,-0.033201,0,0.061966,-0.102218,0.0,0.2304662,0.0303241,0.1522966,0.2957921,0.1806374,0,0.0104927,0.0689085,0.98252348110274523,0.082869615847658742,0.012638592975531271,1.04,0,0.592917769707,0.618140766458,0.632496948932,0.0272074873918,-0.0203450564409,0.673925366149,0.446279122315,0.124896482611,0.066181080873
7,H,Power,OTHER POWER,,,,1396.0,0.401990906754,0.0696867373825,0.260355029586,0.410788381743,0.512212598552,0.0,0.260355029586,0.0,0.410788381743,0.0,0.463203463203,0.0748181449271,,1.449595,0.012335,-0.042537,-0.103802,-0.012716,-0.017288,0,-0.013165,0.134516,0.0,0.2669993,5.06e-05,0.0028269,0.0208968,9.6e-06,0,0.0004609,0.0002919,0.97385717985934572,0.065966271862336293,0.0094232587224816755,1.04,0,0.289674119541,0.401990906754,0.590746123685,0.266723729016,0.141946309303,0.417736486401,0.574921318119,0.324610374521,0.219030840955
8,H,Power,OTHER POWER,POWER SYSTEM,,,1312.0,0.401747843312,0.0657887560617,0.270138888889,0.410788381743,0.507304455401,0.0,0.270138888889,0.0,0.410788381743,0.0,0.463171036205,0.0930602638787,,1.450817,0.012262,-0.043309,-0.117396,-0.007889,-0.015031,0,-0.004203,0,0.0,0.306382,0.0001238,0.0009944,0.1427015,6.48e-05,0,0.2495891,0,0.97685360558757073,0.061935774331136118,0.0097063875865595062,1.04,0,0.279350308546,0.401747843312,0.592039617265,0.293511817589,0.161008324078,0.411669620924,0.595263275957,0.33598809804,0.228071233072
9,H,Power,OTHER POWER,POWER SYSTEM,POWER LINUX,,1312.0,0.401747843312,0.0657887560617,0.270138888889,0.410788381743,0.507304455401,0.0,0.270138888889,0.0,0.410788381743,0.0,0.463171036205,0.0930602638787,,1.450817,0.012262,-0.043309,-0.117396,-0.007889,-0.015031,0,-0.004203,0,0.0,0.306382,0.0001238,0.0009944,0.1427015,6.48e-05,0,0.2495891,0,0.97685360558757073,0.061935774331136118,0.0097063875865595062,1.04,0,0.279350308546,0.401747843312,0.592039617265,0.293511817589,0.161008324078,0.411669620924,0.595263275957,0.33598809804,0.228071233072
10,H,Power,OTHER POWER,POWER SYSTEM,POWER LINUX,8247a,98.0,0.386504005235,0.0615049332538,0.281105990783,0.391836734694,0.481687539778,0.416360290387,0.126040871674,-0.137337642213,0.444422822201,-0.0948473318439,0.476227834143,0.283345925457,,1.801694,0.127754,-0.152886,-0.507041,-0.096869,0.037579,0,-0.051688,0,0.0,9e-07,0.0,4e-07,4.69e-05,0.0058266,0,0.0007959,0,0.98567389148002471,0.046843401843004694,0.004947602353863656,1.04,0,0.385700626273,0.386504005235,0.629076903379,-0.0295397608794,-0.0445453999637,0.4575955377,0.303003970565,0.174292101318,0.0998807587019
11,H,Power,OTHER POWER,POWER SYSTEM,POWER LINUX,8284a,394.0,0.412631119205,0.0618429028206,0.319285714286,0.418215613383,0.491560415696,0.0,0.319285714286,0.0,0.418215613383,0.0,0.465975318913,0.0643562970661,,1.323118,0,-0.019201,-0.062995,-0.01024,-0.036969,0,-0.019046,0,0.0,0,0.0072247,0.1352446,0.3047557,0.0,0,0.0054363,0,0.117832453745354,0.05815904152253102,0.0055844941778668278,1.04,0,0.299030773684,0.412631119205,0.603852888136,0.26122925563,0.140267834027,0.415322093753,0.639891710403,0.287427294415,0.204980890994
