,ComRevCat,ComRevDivCd,ComBrand,ComGroup,ComFamily,ComMT,Count,Avg,StdDev,Low,Med,High,Low_m,Low_b,Med_m,Med_b,High_m,High_b,r2,MSE,QP_ComMedPofL,QP_ComLogListPrice,QP_LogDealSize,QP_ComPctContrib,QP_UpgMES,QP_ClientSeg=E,QP_Indirect(1/0),QP_EndOfQtr,QP_ComDelgPriceL4PofL,PV_ComMedPofL,PV_ComLogListPrice,PV_LogDealSize,PV_ComPctContrib,PV_UpgMES,PV_ClientSeg=E,PV_Indirect(1/0),PV_EndOfQtr,PV_ComDelgPriceL4PofL,Qr2,QMSE,Adj_YtoMedPofL,Adj_psych,Adj_InputByBrand,avg_quote_cost,avg_quote_prc,avg_quote_prc_wp,avg_quote_prc_GP,avg_quote_prc_EGP,avg_opt_prc,avg_opt_prc_wp,avg_opt_prc_GP,avg_opt_prc_EGP
0,,,,,,,18565.0,0.28799431757,0.18880807174,0.0700685314685,0.22,0.639686684073,0.437462938874,0.11208097097,0.482908619745,0.219165228963,0.359866405672,0.376270452855,0.169215269291,,0.890629,-0.01665,0.015648,0.144686,0.004526,0.032573,0.031312,-0.010191,0.051765,0.0,0.0,0.0,0.0,0.1403314,0.0,0.3352195,1e-07,0.0,0.86664461606724397,0.12575575646527695,-0.0074608104294112132,1.04,0,0.130580269011,0.28799431757,0.562077224687,0.414679600008,0.166082385406,0.276297871903,0.588702983723,0.567769024681,0.396062811593
1,H,,,,,,7897.0,0.228148472169,0.134719272566,0.0482698961938,0.192253521127,0.465178571429,0.569624120666,0.0326614580703,0.748069599193,0.0689612303124,0.877853046535,0.157514884285,0.513345428717,,0.896915,0.007779,-0.006337,0.047122,0.022166,0.013391,0,0.008479,0.159404,0.0,6e-06,2.56e-05,4.3e-06,0.0,0.0,0,8e-07,0.0,0.92459471823904171,0.072756626980512357,-0.0056111106343620931,1.04,0,0.202161499631,0.228148472169,0.567784812291,-0.0622459370585,-0.130204297703,0.258140861678,0.384163491613,0.251205195874,0.121717308551
2,H,Power,,,,,1891.0,0.3803517866,0.111537636176,0.193191676007,0.394444444444,0.554617581564,0.565647037061,0.109954345286,0.323554830038,0.275239574315,0.324785081028,0.381369421685,0.338564657991,,0.776257,-0.041114,0.040805,0.274741,0.025812,0.010176,0,0.006847,0.039157,0.0,0.0,0.0,0.0,1.7e-06,0.0238632,0,0.1125603,0.0093663,0.94826146989890958,0.090158435537593729,-0.00096504062373176103,1.04,0,0.313035045113,0.3803517866,0.57826464623,0.152553786193,0.038487258838,0.398537826121,0.512722028169,0.2392558497,0.143696796014
3,H,Power,HPC,,,,137.0,0.400116974201,0.1451277042,0.12426035503,0.38894907909,0.669090909091,0.667954095162,0.0254486082996,0.403771854172,0.253577887011,0.179264782295,0.431469855814,0.318049587656,,0.629691,-0.162772,0.150142,0.701109,0.149092,0.153534,0,-0.158347,0.542513,4e-07,0.0,0.0,0.0001948,2e-07,0.0,0,0.0,0.0,0.96068169565613371,0.084396283848820836,0.021418984610458047,1.04,0,0.359081703811,0.400116974201,0.642974494265,0.0608715104599,0.0147937218019,0.480280777177,0.353406627048,0.292822404978,0.158542910357
4,H,Power,HPC,HPC,,,137.0,0.400116974201,0.1451277042,0.12426035503,0.38894907909,0.669090909091,0.667954095162,0.0254486082996,0.403771854172,0.253577887011,0.179264782295,0.431469855814,0.318049587656,,0.629691,-0.162772,0.150142,0.701109,0.149092,0.153534,0,-0.158347,0.542513,4e-07,0.0,0.0,0.0001948,2e-07,0.0,0,0.0,0.0,0.96068169565613371,0.084396283848820836,0.021418984610458047,1.04,0,0.359081703811,0.400116974201,0.642974494265,0.0608715104599,0.0147937218019,0.480280777177,0.353406627048,0.292822404978,0.158542910357
5,H,Power,HPC,HPC,IBM POWER SYSTEM S822LC,,96.0,0.410032565184,0.121161168778,0.260869565217,0.38894907909,0.669090909091,0.594988844565,0.0624615556987,-1.23958323576,0.973005472854,-1.8119606486,1.25663261983,0.378669314121,,-0.874756,-0.380815,0.379449,9.172036,0,0.217681,0,-0.02031,0,0.0,0.0,0.0,0.0,0,0.0,0,0.1704264,0,0.99095898261880988,0.040654136978205566,0.047022381471921726,1.04,0,0.42275246767,0.410032565184,0.844636070664,-0.112360744223,-0.132162291177,0.525791181494,0.299768819548,0.187238040435,0.0865655916242
6,H,Power,OTHER POWER,,,,1067.0,0.372145724639,0.0980034979417,0.180637254902,0.389655172414,0.539090643324,0.652555179114,0.0748745963442,0.33949558714,0.26386888485,0.3627696683,0.344461465177,0.431571722474,,0.763162,-0.089502,0.083037,0.44899,0.005834,0,0,0,0.043027,0.0,0.0,0.0,0.0,0.3713363,0,0,0,0.4611829,0.95899555687088434,0.077927146615625997,0.0044784041600580138,1.04,0,0.322798727267,0.372145724639,0.583603459252,0.112502240357,0.00828516593925,0.399034003549,0.482239796168,0.214963950983,0.119473396239
7,H,Power,OTHER POWER,POWER SYSTEM,,,929.0,0.362511310177,0.0911851844315,0.160931899642,0.388679245283,0.538982526231,0.873347698836,0.0177246362183,0.522574603643,0.212724087862,0.221098950687,0.376193094696,0.46323241257,,0.714968,-0.0609,0.060735,0.407625,0.01473,0.004863,0,0,0,0.0,1.27e-05,2.1e-06,0.0,0.0394646,0.3755427,0,0,0,0.96127441036534356,0.07356014674589588,0.010166972772301608,1.04,0,0.29805272654,0.362511310177,0.584875954776,0.153289713053,0.0400260619832,0.383189568784,0.532503467257,0.240671497458,0.136059912198
8,H,Power,OTHER POWER,POWER SYSTEM,POWER LINUX,,929.0,0.362511310177,0.0911851844315,0.160931899642,0.388679245283,0.538982526231,0.873347698836,0.0177246362183,0.522574603643,0.212724087862,0.221098950687,0.376193094696,0.46323241257,,0.714968,-0.0609,0.060735,0.407625,0.01473,0.004863,0,0,0,0.0,1.27e-05,2.1e-06,0.0,0.0394646,0.3755427,0,0,0,0.96127441036534356,0.07356014674589588,0.010166972772301608,1.04,0,0.29805272654,0.362511310177,0.584875954776,0.153289713053,0.0400260619832,0.383189568784,0.532503467257,0.240671497458,0.136059912198
9,H,Power,OTHER POWER,POWER SYSTEM,POWER LINUX,8247a,81.0,0.396813340578,0.096230234246,0.230769230769,0.411320754717,0.553436139333,1.58593849129,-0.301428898424,0.676753996303,0.152595523195,0.345999962962,0.370447613053,0.454098768257,,2.060769,-0.219135,0.116954,0,-0.049576,0.044662,0,-0.192729,0,0.0,0.0,0.0,0,0.0003345,0.0002671,0,0.0,0,0.99180751150171353,0.036957550964329261,0.021554758877864399,1.04,0,0.389394793403,0.396813340578,0.762581836176,-0.0291245215578,-0.0588858750142,0.473524019202,0.36879332141,0.178985922765,0.0735706186685
