Countrycode,SubReg,Geo
AD,BeNeLuxFr,EMEA
KM,BeNeLuxFr,EMEA
GF,BeNeLuxFr,EMEA
PF,BeNeLuxFr,EMEA
GP,BeNeLuxFr,EMEA
MQ,BeNeLuxFr,EMEA
YT,BeNeLuxFr,EMEA
MC,BeNeLuxFr,EMEA
NC,BeNeLuxFr,EMEA
RE,BeNeLuxFr,EMEA
PM,BeNeLuxFr,EMEA
VU,BeNeLuxFr,EMEA
WF,BeNeLuxFr,EMEA
BE,BeNeLuxFr,EMEA
NL,BeNeLuxFr,EMEA
LU,BeNeLuxFr,EMEA
FR,BeNeLuxFr,EMEA
AL,CEE,EMEA
AM,CEE,EMEA
AZ,CEE,EMEA
BA,CEE,EMEA
BG,CEE,EMEA
BY,CEE,EMEA
CS,CEE,EMEA
CZ,CEE,EMEA
EE,CEE,EMEA
GE,CEE,EMEA
HR,CEE,EMEA
HU,CEE,EMEA
KG,CEE,EMEA
KZ,CEE,EMEA
LT,CEE,EMEA
LV,CEE,EMEA
MD,CEE,EMEA
ME,CEE,EMEA
MK,CEE,EMEA
PL,CEE,EMEA
RO,CEE,EMEA
RS,CEE,EMEA
RU,CEE,EMEA
SI,CEE,EMEA
SK,CEE,EMEA
TJ,CEE,EMEA
TM,CEE,EMEA
UA,CEE,EMEA
UZ,CEE,EMEA
XK,CEE,EMEA
Z1,DACH,EMEA
AT,DACH,EMEA
CH,DACH,EMEA
DE,DACH,EMEA
LI,DACH,EMEA
IT,IT,EMEA
SM,IT,EMEA
CG,MEA,EMEA
LS,MEA,EMEA
LY,MEA,EMEA
NA,MEA,EMEA
PS,MEA,EMEA
SZ,MEA,EMEA
SY,MEA,EMEA
AE,MEA,EMEA
AF,MEA,EMEA
AO,MEA,EMEA
BF,MEA,EMEA
BH,MEA,EMEA
BI,MEA,EMEA
BJ,MEA,EMEA
BW,MEA,EMEA
CD,MEA,EMEA
CI,MEA,EMEA
CF,MEA,EMEA
CM,MEA,EMEA
CV,MEA,EMEA
DJ,MEA,EMEA
DZ,MEA,EMEA
EG,MEA,EMEA
EH,MEA,EMEA
ER,MEA,EMEA
ET,MEA,EMEA
GA,MEA,EMEA
GH,MEA,EMEA
GM,MEA,EMEA
GN,MEA,EMEA
GQ,MEA,EMEA
GW,MEA,EMEA
IQ,MEA,EMEA
JO,MEA,EMEA
KE,MEA,EMEA
KW,MEA,EMEA
LB,MEA,EMEA
LR,MEA,EMEA
MA,MEA,EMEA
MG,MEA,EMEA
ML,MEA,EMEA
MR,MEA,EMEA
MU,MEA,EMEA
MW,MEA,EMEA
MZ,MEA,EMEA
NE,MEA,EMEA
NG,MEA,EMEA
OM,MEA,EMEA
PK,MEA,EMEA
QA,MEA,EMEA
RW,MEA,EMEA
SA,MEA,EMEA
SC,MEA,EMEA
SD,MEA,EMEA
SL,MEA,EMEA
SN,MEA,EMEA
SO,MEA,EMEA
ST,MEA,EMEA
TD,MEA,EMEA
TG,MEA,EMEA
TN,MEA,EMEA
TR,MEA,EMEA
TZ,MEA,EMEA
UG,MEA,EMEA
YE,MEA,EMEA
ZA,MEA,EMEA
ZM,MEA,EMEA
ZW,MEA,EMEA
DK,NordicGBIE,EMEA
FI,NordicGBIE,EMEA
GB,NordicGBIE,EMEA
IE,NordicGBIE,EMEA
IS,NordicGBIE,EMEA
NO,NordicGBIE,EMEA
SE,NordicGBIE,EMEA
FK,NordicGBIE,EMEA
GI,NordicGBIE,EMEA
SH,NordicGBIE,EMEA
FO,NordicGBIE,EMEA
GL,NordicGBIE,EMEA
Z2,NordicGBIE,EMEA
MT,SPGI,EMEA
CY,SPGI,EMEA
ES,SPGI,EMEA
GR,SPGI,EMEA
IL,SPGI,EMEA
PT,SPGI,EMEA
US,US,NA
CA,CA,NA
