Condition,DiscountedPrice,Discount,Comments
"df.loc[df.ComMT.isin(['6661a', '6662a', '6663a', '6664a'])]",item['ComListPrice']*0.77,0.23,Discount 23%
"df.loc[df.ComMT.isin(['7014a', '7042a', '7316a', '7063a', '7965a'])]",item['ComTMC']/0.95,0.05,TMC GP 5%
df.loc[df.ComMT == '9009a'],item['ComTMC']/0.49,0.51,TMC GP 51%
df.loc[df.ComMT == '9223a'],item['ComTMC']/0.63,0.37,TMC GP 37%
"df.loc[df.ComMT.isin(['8005a', '9008a'])]",item['ComTMC']/0.7,0.3,TMC GP 30%
df.loc[df.ComMTM == '5639-RHSa'],item['ComListPrice']*0.54,0.46,Discount 46%
df.loc[df.ComMTM == '8001-HPCa'],item['ComTMC']/1,0,TMC GP 0%
"df.loc[(df.ComMT == '6911a') & (df['Indirect(1/0)'] == 0) & (df.Countrycode.isin(geomap.loc[(geomap.Geo == 'EMEA') & (geomap.SubReg == 'MEA'), 'Countrycode']))]",item['ComListPrice']*0.75,0.25,Discount 25% in MEA
"df.loc[(df.ComMT == '6911a') & (df['Indirect(1/0)'] == 1) & (df.Countrycode.isin(geomap.loc[(geomap.Geo == 'EMEA') & (geomap.SubReg == 'MEA'), 'Countrycode']))]",item['ComListPrice']*0.64,0.36,Discount 36% in MEA 
"df.loc[(df.ComMT == '6911a') & (df['Indirect(1/0)'] == 0) & (df.Countrycode.isin(geomap.loc[(geomap.Geo == 'EMEA') & (geomap.SubReg != 'MEA'), 'Countrycode']))]",item['ComListPrice']*0.70,0.3,Discount 30% in all Europe
"df.loc[(df.ComMT == '6911a') & (df['Indirect(1/0)'] == 1) & (df.Countrycode.isin(geomap.loc[(geomap.Geo == 'EMEA') & (geomap.SubReg != 'MEA'), 'Countrycode']))]",item['ComListPrice']*0.56,0.44,Discount 44% in all Europe
df.loc[df.ComMTM == '5639-CE1a'],item['ComListPrice']*0.54,0.46,Discount 46%
df.loc[df.ComMTM == '5639-CE2a'],item['ComListPrice']*0.54,0.46,Discount 46%
df.loc[df.ComMTM == '5639-CE3a'],item['ComListPrice']*0.54,0.46,Discount 46%
df.loc[df.ComMTM == '5639-CE4a'],item['ComListPrice']*0.54,0.46,Discount 46%
df.loc[df.ComMTM == '5639-NP3a'],item['ComListPrice']*0.44,0.56,Discount 56%
df.loc[df.ComMTM == '5639-NP5a'],item['ComListPrice']*0.44,0.56,Discount 56%
df.loc[df.ComMTM == '5639-N3Ua'],item['ComListPrice']*0.44,0.56,Discount 56%
df.loc[df.ComMTM == '5639-N5Ua'],item['ComListPrice']*0.44,0.56,Discount 56%
df.loc[df.ComMTM == '5639-NUPa'],item['ComListPrice']*0.44,0.56,Discount 56%
df.loc[df.ComMTM == '5639-NTSa'],item['ComListPrice']*0.44,0.56,Discount 56%
df.loc[df.ComMTM == '5639-RH7a'],item['ComListPrice']*0.54,0.46,Discount 46%
df.loc[df.ComMTM == '5639-12Sa'],item['ComListPrice']*0.54,0.46,Discount 46%
df.loc[df.ComMTM == '5639-RLEa'],item['ComListPrice']*0.54,0.46,Discount 46%
df.loc[df.ComMTM == '5639-SAPa'],item['ComListPrice']*0.54,0.46,Discount 46%
df.loc[df.ComMTM == '5639-U16a'],item['ComListPrice']*0.54,0.46,Discount 46%
df.loc[df.ComMTM == '5639-XRLa'],item['ComListPrice']*0.54,0.46,Discount 46%
df.loc[df.ComMTM == '5771-LNXa'],item['ComListPrice']*0.54,0.46,Discount 46%
df.loc[df.ComMTM == '5773-LNXa'],item['ComListPrice']*0.54,0.46,Discount 46%
df.loc[df.ComMTM == '5771-CEBa'],item['ComListPrice']*0.54,0.46,Discount 46%
df.loc[df.ComMTM == '5773-CEBa'],item['ComListPrice']*0.54,0.46,Discount 46%
df.loc[df.ComMTM == '5771-CECa'],item['ComListPrice']*0.54,0.46,Discount 46%
df.loc[df.ComMTM == '5773-CECa'],item['ComListPrice']*0.54,0.46,Discount 46%
df.loc[df.ComMTM == '5773-NP3a'],item['ComListPrice']*0.44,0.56,Discount 56%
df.loc[df.ComMTM == '5773-N3Ua'],item['ComListPrice']*0.44,0.56,Discount 56%
df.loc[df.ComMTM == '5775-NP5a'],item['ComListPrice']*0.44,0.56,Discount 56%
df.loc[df.ComMTM == '5775-N5Ua'],item['ComListPrice']*0.44,0.56,Discount 56%
df.loc[df.ComMTM == '8335-GTGa'],item['ComTMC']/0.71,0.29,TMC GP 29%
df.loc[df.ComMTM == '5771-PAIa'],item['ComListPrice']*0.54,0.46,Discount 46%
df.loc[df.ComMTM == '5773-PAIa'],item['ComListPrice']*0.54,0.46,Discount 46%
df.loc[df.ComMTM == '5765-DRGa'],item['ComListPrice']*0.75,0.25,Discount 25%
df.loc[df.ComMTM == '5771-DRGa'],item['ComListPrice']*0.75,0.25,Discount 25%
df.loc[df.ComMTM == '5773-DRGa'],item['ComListPrice']*0.75,0.25,Discount 25%
df.loc[df.ComMTM == '5771-DRLa'],item['ComListPrice']*0.75,0.25,Discount 25%
df.loc[df.ComMTM == '5775-LNXa'],item['ComListPrice']*0.54,0.46,Discount 46%
df.loc[df.ComMTM == '5799-OSPa'],item['ComListPrice']*0.54,0.46,Discount 46%
df.loc[df.ComMTM == '5639-U18a'],item['ComListPrice']*0.54,0.46,Discount 46%
df.loc[df.ComMTM == '5639-1PPa'],item['ComListPrice']*0.44,0.56,Discount 56%
df.loc[df.ComMTM == '5639-2PPa'],item['ComListPrice']*0.44,0.56,Discount 56%
df.loc[df.ComMTM == '5639-3PPa'],item['ComListPrice']*0.44,0.56,Discount 56%
df.loc[df.ComMTM == '5639-4PPa'],item['ComListPrice']*0.44,0.56,Discount 56%
df.loc[df.ComMTM == '5639-5PPa'],item['ComListPrice']*0.44,0.56,Discount 56%
