,CustomerNumber,ClientSegCd,ClientSeg=E,CCMScustomerNumber,CustomerSecName,CustomerIndustryName,RequestingApplicationID,ModelID,Version,Countrycode,ChannelID,Year,Month,EndOfQtr,Indirect(1/0),DomBuyerGrpID,DomBuyerGrpName,QuoteType,ctry_desc,imt_code,TSSComponentincluded,Quantity,UpgMES,ComListPrice,ComTMC,ComQuotePrice,ComDelgPriceL4,ComRevCat,ComRevDivCd,ComBrand,ComGroup,ComFamily,ComMT,ComMTM,ComQuotePricePofL,ComDelgPriceL4PofL,ComCostPofL,ComLogListPrice,ComMTMDesc,ComMTMDescLocal,ComCategory,ComSubCategory,ComSpclBidCode1,ComSpclBidCode2,ComSpclBidCode3,ComSpclBidCode4,ComSpclBidCode5,ComSpclBidCode6,HWPlatformid,FeatureId,FeatureQuantity,Level_1,Level_2,Level_3,Level_4,QuoteID,WinLoss,ComLowPofL,ComMedPofL,ComHighPofL,ComMedPrice,DealSize,LogDealSize,ComPctContrib,ComRevDivCd_Orig,Componentid,GEO_CODE,Componentid_Orig
0,724-A025L7,E,1,0038039382,,BP Act.end User Unkn,EPRICER,CHW_FR,1,FR,A,2018,8,0,0,0,0,I,France,France,N,10,0,51091.38627,11693.8182,51091.38627,0.0,H,Storage,None,,,2076a,2076-624a,1.0,0.0,0.2288804249350817,4.70834768661735,V7000 SFF Control,V7000 SFF Control,H,P,,,,,,,0,,,2076624,B8S0S,STWZ,STORAGEHW,5143454-FR,1,,,,,,,,2D,20,EMEA,20
1,724-A025L7,E,1,0038039382,,BP Act.end User Unkn,EPRICER,CHW_FR,1,FR,A,2018,8,0,0,0,0,I,France,France,N,10,0,3235701.2169,193341.73227,3235701.2169,290012.59841,H,Storage,DS8000,DS8000 HW,DS8000 EXPANSION UNIT,5333a,5333-988a,1.0,0.08962897961507392,0.05975265307568578,6.509968412247276,DS8888,DS8888,H,P,,,,,,,0,,,5333988,High End Disk,SSG,STORAGEHW,5143454-FR,1,,,,,,,,2D,29,EMEA,29
2,724-A025L7,E,1,0038039382,,BP Act.end User Unkn,EPRICER,CHW_FR,1,FR,A,2018,8,0,0,0,0,I,France,France,N,10,0,18574.66498,5663.53509,18574.66498,5961.79649,H,Power,None,,,7014a,7014-T42a,1.0,0.32096387721766595,0.30490644628574076,4.268920989396304,IBM 7014-T42,IBM 7014-T42,H,P,,,,,,,13,,,7014T42,B5Y00,PWR,POWERHW,5143454-FR,1,,,,,,,,75,15,EMEA,15
3,724-A025L7,E,1,0038039382,,BP Act.end User Unkn,EPRICER,CHW_FR,1,FR,A,2018,8,0,0,0,0,I,France,France,N,10,0,33917.00615,9141.57968,33917.00615,0.0,H,Power,OTHER POWER,POWER SYSTEM,POWER LINUX,8286a,8286-42Aa,1.0,0.0,0.26952790702017787,4.530417510155497,IBM Power System S824,IBM Power System S824,H,P,,,,,,,0,,,828642A,B5Y00,PWR,POWERHW,5143454-FR,1,,,,,,,,9R,7,EMEA,7
4,724-A025L7,E,1,0038039382,,BP Act.end User Unkn,EPRICER,CHW_FR,1,FR,A,2018,8,0,0,0,0,I,France,France,N,10,0,18574.66498,5663.53509,18574.66498,5961.79649,H,Power,None,,,7014a,7014-T42a,1.0,0.32096387721766595,0.30490644628574076,4.268920989396304,IBM 7014-T42,IBM 7014-T42,H,P,,,,,,,13,,,7014T42,B5Y00,PWR,POWERHW,5143454-FR,1,,,,,,,,75,14,EMEA,14
5,724-A025L7,E,1,0038039382,,BP Act.end User Unkn,EPRICER,CHW_FR,1,FR,A,2018,8,0,0,0,0,I,France,France,N,10,0,18369.66464,-0.23464,18369.66464,0.0,S,Storage,None,,,5639a,5639-CB8a,1.0,0.0,-1.2773232641877995e-05,4.26410122781768,IBM Spectrum Virtualize Software for Storwize V7000 Controller Software V8 (5639-CB8),IBM Spectrum Virtualize Software for Storwize V7000 Controller Software V8 (5639-CB8),S,O,,,,,,,20,,,5639CB8,B5TB3,SOTH,SSGSW,5143454-FR,1,,,,,,,,U5,21,EMEA,21
6,724-A025L7,E,1,0038039382,,BP Act.end User Unkn,EPRICER,CHW_FR,1,FR,A,2018,8,0,0,0,0,I,France,France,N,10,0,21590.87221,10427.49531,21590.87221,0.0,H,Power,OTHER POWER,POWER SYSTEMS HW - AIX/LINUX,POWER SYSTEMS HW - AIX/LINUX,8247a,8247-42La,1.0,0.0,0.4829585024902521,4.3342701869539075,IBM Power Systems S824L,IBM Power Systems S824L,H,P,,,,,,,0,,,824742L,BA600,PWR,POWERHW,5143454-FR,1,,,,,,,,9R,1,EMEA,1
7,724-A025L7,E,1,0038039382,,BP Act.end User Unkn,EPRICER,CHW_FR,1,FR,A,2018,8,0,0,0,0,I,France,France,N,10,0,84522.9636,5.98341,84522.9636,8.97512,H,Storage,DS8000,DS8000 HW,DS8000 EXPANSION UNIT,9048a,9048-FF8a,1.0,0.00010618558102711864,7.079034791439802e-05,4.926974716167334,DS8000 series Function Authorization,DS8000 series Function Authorization,H,P,,,,,,,29,,,9048FF8,Function Authorizations,SSG,STORAGEHW,5143454-FR,1,,,,,,,,2D,30,EMEA,30
8,724-A025L7,E,1,0038039382,,BP Act.end User Unkn,EPRICER,CHW_FR,1,FR,A,2018,8,0,0,0,0,I,France,France,N,10,0,7348.25693,-0.31286,7348.25693,0.0,S,Storage,STORWIZE V7000,V7000,STORWISE V7000 SW,5639a,5639-CBCa,1.0,0.0,-4.2576083414111115e-05,3.866184332899213,IBM Storwize V7000 Controller - SW - 3 yr Registration (5639-CBC),IBM Storwize V7000 Controller - SW - 3 yr Registration (5639-CBC),S,O,,,,,,,20,,,5639CBC,B8UR0,SPEC,SSGSW,5143454-FR,1,,,,,,,,U5,22,EMEA,22
9,724-A025L7,E,1,0038039382,,BP Act.end User Unkn,EPRICER,CHW_FR,1,FR,A,2018,8,0,0,0,0,I,France,France,N,10,0,332699.27405,105424.41365,332699.27405,158136.62048,H,Power,HPC,HPC,CLOUD OPENSTACK PLATFORM FOR POWER REG 3Y,9080a,9080-MHEa,1.0,0.4753139931896404,0.3168759954497412,5.522051853239057,IBM Power System E880C,IBM Power System E880C,H,P,,,,,,,0,,,9080MHE,B5A00,PWR,POWERHW,5143454-FR,1,,,,,,,,75,13,EMEA,13
